candidate_term,surface例,entity_count,sourceType,proposed_controlled,proposed_relation,ambiguity,recommendation,evidence_examples,reviewStatus,note
確認中,確認中,8,journal,確認中〈要限定〉,needs_qualifier,medium,add_qualifier,,pending,多義の可能性
購読型／一部OA,購読型／一部OA,7,journal,購読型／一部OA,candidate_concept,medium,keep_candidate,,pending,人間レビュー後に統制語化を判断
国内,国内,5,society,国内〈要限定〉,needs_qualifier,medium,add_qualifier,,pending,多義の可能性
科,科,5,field,科〈要限定〉,needs_qualifier,medium,add_qualifier,,pending,多義の可能性
国際,国際,4,society,国際〈要限定〉,needs_qualifier,medium,add_qualifier,,pending,多義の可能性
OA,OA,2,journal,OA〈要限定〉,needs_qualifier,medium,add_qualifier,,pending,多義の可能性
エネルギー,エネルギー,2,journal|lab,エネルギー,candidate_concept,medium,keep_candidate,燃料や廃棄物を燃やすときに起こる熱・流れ・化学反応を研究し、,pending,人間レビュー後に統制語化を判断
目,目,2,field,目〈要限定〉,needs_qualifier,medium,add_qualifier,,pending,多義の可能性
AGUが発行する、大気科学を扱う国際主要誌。,AGUが発行する、大気科学を扱う国際主要誌。,1,journal,,sentence_fragment,low,reject,AGUが発行する、大気科学を扱う国際主要誌。大気物理、化学、,pending,文章断片は統制語候補にしない
Academy,Academy,1,journal,,isolated_term,low,needs_review,National Academy of Sciencesが発,pending,単発出現のため採否保留
American,American,1,journal,,isolated_term,low,needs_review,American Society of Plant Biol,pending,単発出現のため採否保留
American Society of Plant Biologists系の、植物生理学・植物分子生物学を扱う国際主要誌。,American Society of Plant Biologists系の、植物生理学・植物分子生物学を扱う国際主要誌。,1,journal,,sentence_fragment,low,reject,American Society of Plant Biol,pending,文章断片は統制語候補にしない
DNA、RNA、タンパク質、酵素の働きは、細胞内の反応や生命現象をどのように支えているのか？,DNA、RNA、タンパク質、酵素の働きは、細胞内の反応や生命現象をどのように支えているのか？,1,society,,redundant_question,low,reject,DNA、RNA、タンパク質、酵素の働きは、細胞内の反応や生命,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
Lancet系の国際主要誌,Lancet系の国際主要誌,1,journal,,isolated_term,low,needs_review,臨床腫瘍学を扱うThe Lancet系の国際主要誌。がん臨床,pending,単発出現のため採否保留
