sourceType,sourceId,entityName,executionMode,layer,facet,surface,controlled,modality,evidenceSource,evidenceQuote,confidence,refutation,gateWarnings,reviewerDecision,correctedSurface,correctedControlled,reviewerNote
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,Σ,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊な磁性、物質の表面に特徴的な電子状態が現れる仕組みを、理論と数理モデルから研究する研究室。,,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,IS,電子同士が強く影響し合う物質で,,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,IS,電気抵抗が消える超伝導や特殊な磁性,,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,IS,理論と数理モデルから研究する研究室,,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,Q,電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が現れるのか？,,asserted,labs.json#sample-lab-41461c2ec17b:researchQuestions,電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,Q,多数の電子の動きを数理モデルで表すと、まだ知られていない物質の状態をどのように予測できるのか？,,asserted,labs.json#sample-lab-41461c2ec17b:researchQuestions,電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,M,理論的分析,理論研究,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,M,数理モデリング,モデリング,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,Σ,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変えるのかを研究する研究室。,,asserted,labs.json#sample-lab-470a48ca9298:sections.research_summary,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,0.6,,,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,IS,細胞が周囲の硬さや力をどのように感じ,,asserted,labs.json#sample-lab-470a48ca9298:sections.research_summary,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,0.6,,,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,IS,形や動き,,asserted,labs.json#sample-lab-470a48ca9298:sections.research_summary,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,0.6,,,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,IS,働きを変えるのかを研究する研究室,,asserted,labs.json#sample-lab-470a48ca9298:sections.research_summary,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,0.6,,,,,,
